word,reason,definition
REVELRY,semicolon_dictionary_dump,The act of engaging in a revel; noisy festivity; reveling.And pomp and feast and revelry. Milton.
NEGLIGENT,too_long,"Apt to neglect; customarily neglectful; characterized bynegligence; careless; heedless; culpably careless; showing lack ofattention; as, disposed in negligent order. ""Be thou negligent offame."" Swift.He that thinks he can afford to be negligent is not far from beingpoor. Rambler."
TREAT,semicolon_dictionary_dump,"To care for medicinally or surgically; to manage in the use ofremedies or appliances; as, to treat a disease, a wound, or apatient."
MOMENT,semicolon_dictionary_dump,An infinitesimal change in a varying quantity; an increment ordecrement. [Obs.]
OWEN,too_short_or_not_a_definition,Own. [Obs.] Chaucer.
EJECT,semicolon_dictionary_dump,"To cast out; to evict; to dispossess; as, to eject tenants froman estate."
TENSE,too_long,"One of the forms which a verb takes by inflection or by addingauxiliary words, so as to indicate the time of the action or eventsignified; the modification which verbs undergo for the indication oftime."
CAPTAIN,semicolon_dictionary_dump,To act as captain of; to lead. [R.]Men who captained or accompanied the exodus from existing forms.Lowell.
MASTED,semicolon_dictionary_dump,"Furnished with a mast or masts; -- chiefly in composition; as,a three-masted schooner."
COVEY,semicolon_dictionary_dump,To brood; to incubate. [Obs.][Tortoises] covey a whole year before they hatch. Holland.
BUTT,semicolon_dictionary_dump,To strike by thrusting the head against; to strike with thehead.Two harmless lambs are butting one the other. Sir H. Wotton.
JAG,length_out_of_range,"A cleft or division. Jag bolt, a bolt with a nicked or barbedshank which resists retraction, as when leaded into stone."
BRAWL,semicolon_dictionary_dump,"A noisy quarrel; loud, angry contention; a wrangle; a tumult;as, a drunken brawl.His sports were hindered by the brawls. Shak."
TOIL,too_long,"A net or snare; any thread, web, or string spread for takingprey; -- usually in the plural.As a Numidian lion, when first caught, Endures the toil that holdshim. Denham.Then toils for beasts, and lime for birds, were found. Dryden."
TRITICUM,forbidden_term,A genus of grasses including the various species of wheat.
PATHOS,too_long,"That quality or property of anything which touches the feelingsor excites emotions and passions, esp., that which awakens tenderemotions, such as pity, sorrow, and the like; contagious warmth offeeling, action, or expression; pathetic quality; as, the pathos of apicture, of a poem, or of a cry.The combination of incident, and the pathos of catastrophe. T.Warton."
GENET,semicolon_dictionary_dump,"A small-sized, well-proportioned, Spanish horse; a jennet.Shak."
AUCTIONEER,semicolon_dictionary_dump,A person who sells by auction; a person whose business it is todispose of goods or lands by public sale to the highest or bestbidder.
RAMBLE,multi_sentence,A bed of shale over the seam. Raymond.
PROSPECTIVELY,length_out_of_range,In a prospective manner.
TAURINE,technical_relation_definition,"Of or pertaining to the genus Taurus, or cattle."
ANARCHIST,semicolon_dictionary_dump,An anarch; one who advocates anarchy of aims at the overthrowof civil government.
INHUMANITY,semicolon_dictionary_dump,The quality or state of being inhuman; cruelty; barbarity.Man's inhumanity to man Makes countless thousands mourn. Burns.
DANK,semicolon_dictionary_dump,"Damp; moist; humid; wet.Now that the fields are dank and ways are mire. Milton.Cheerless watches on the cold, dank ground. Trench."
INTERNE,semicolon_dictionary_dump,That which is within; the interior. [Poetic] Mrs. Browning.
NORTHEASTERLY,length_out_of_range,"Pertaining to the northeast; toward the northeast, or comingfrom the northeast."
WARP,contains_answer_or_variant,"To tow or move, as a vessel, with a line, or warp, attached toa buoy, anchor, or other fixed object."
DEMOGRAPHY,dash_dictionary_dump,"The study of races, as to births, marriages, mortality, health,etc.-- Dem`o*graph""ic, a."
FROSTBITE,multi_sentence,"The freezing, or effect of a freezing, of some part of thebody, as the ears or nose. Kane."
RESPLENDENT,length_out_of_range,"Shining with brilliant luster; very bright.-- Re*splen""dent*ly, adv.With royal arras and resplendent gold. Spenser."
DIRECTORY,semicolon_dictionary_dump,Containing directions; enjoining; instructing; directorial.
ROADSTER,multi_sentence,A clumsy vessel that works its way from one anchorage toanother by means of the tides. Ham. Nav. Encyc.
SHALT,multi_sentence,2d per. sing. of Shall.
LEPROSY,too_long,"A cutaneous disease which first appears as blebs or as reddish,shining, slightly prominent spots, with spreading edges. These areoften followed by an eruption of dark or yellowish prominent nodules,frequently producing great deformity. In one variety of the disease,anæsthesia of the skin is a prominent symptom. In addition there maybe wasting of the muscles, falling out of the hair and nails, anddistortion of the hands and feet with destruction of the bones andjoints. It is incurable, and is probably contagious.Mycobacteriumleprae, curable in most cases by therapy with a combination ofantibiotics, but cases resistant to therapy are increasing."
QUATRAIN,multi_sentence,A stanza of four lines rhyming alternately. Dryden.
TARRY,semicolon_dictionary_dump,"Consisting of, or covered with, tar; like tar."
FAUBOURG,semicolon_dictionary_dump,"A suburb of French city; also, a district now within a city,but formerly without its walls."
HALVED,semicolon_dictionary_dump,"Appearing as if one side, or one half, were cut away;dimidiate."
BYSTANDER,too_long,One who stands near; a spectator; one who has no concern withthe business transacting.He addressed the bystanders and scattered pamphlets among them.Palfrey.
NAPPE,too_long,"Sheet; surface; all that portion of a surface that iscontinuous in such a way that it is possible to pass from any onepoint of the portion to any other point of the portion withoutleaving the surface. Thus, some hyperboloids have one nappe, and somehave two."
ORTHOCLASE,multi_sentence,Common or potash feldspar crystallizing in the monoclinicsystem and having two cleavages at right angles to each other. SeeFeldspar.
HAIRLESS,multi_sentence,Destitute of hair. Shak.
PARTED,too_long,"Cleft so that the divisions reach nearly, but not quite, to themidrib, or the base of the blade; -- said of a leaf, and used chieflyin composition; as, three-parted, five-parted, etc. Gray."
QUADRATE,too_long,"A plane surface with four equal sides and four right angles; asquare; hence, figuratively, anything having the outline of a square.At which command, the powers militant That stood for heaven, inmighty quadrate joined. Milton."
REPOSE,semicolon_dictionary_dump,A rest; a pause.
FORMALIST,too_long,"One overattentive to forms, or too much confined to them; esp.,one who rests in external religious forms, or observes strictly theoutward forms of worship, without possessing the life and spirit ofreligion.As far a formalist from wisdom sits, In judging eyes, as libertinesfrom wits. Young."
REPENTANT,semicolon_dictionary_dump,"One who repents, especially one who repents of sin; a penitent."
QUADRATIC,too_short_or_not_a_definition,Tetragonal.
FORLORNLY,multi_sentence,In a forlorn manner. Pollok.
UNSYMMETRICAL,length_out_of_range,"Not symmetrical; being without symmetry, as the parts of aflower when similar parts are of different size and shape, or whenthe parts of successive circles differ in number. See Symmetry."
IRRECOVERABLE,length_out_of_range,"Not capable of being recovered, regained, or remedied;irreparable; as, an irrecoverable loss, debt, or injury.That which is past is gone and irrecoverable. Bacon."
PRAETORIAN,too_short_or_not_a_definition,See Pretorian.
WANT,multi_sentence,"A depression in coal strata, hollowed out before the subsequentdeposition took place. [Eng.]"
CANDLELIGHT,length_out_of_range,The light of a candle.Never went by candlelight to bed. Dryden.
BROOM,too_long,"A plant having twigs suitable for making brooms to sweep withwhen bound together; esp., the Cytisus scoparius of Western Europe,which is a low shrub with long, straight, green, angular branches,mintue leaves, and large yellow flowers.No gypsy cowered o'er fires of furze and broom. Wordsworth."
CHARTERER,semicolon_dictionary_dump,One who charters; esp. one who hires a ship for a voyage.
NEBULAR,too_long,"Of or pertaining to nebulæ; of the nature of, or resembling, anebula. Nebular hypothesis, an hypothesis to explain the process offormation of the stars and planets, presented in various forms byKant, Herschel, Laplace, and others. As formed by Laplace, itsupposed the matter of the solar system to have existed originally inthe form of a vast, diffused, revolving nebula, which, graduallycooling and contracting, threw off, in obedience to mechanical andphysical laws, succesive rings of matter, from which subsequently, bythe same laws, were produced the several planets, satellites, andother bodies of the system. The phrase may indicate any hypothesisaccording to which the stars or the bodies of the solar system havebeen evolved from a widely diffused nebulous form of matter."
RELENT,semicolon_dictionary_dump,Stay; stop; delay. [Obs.]Nor rested till she came without relent Unto the land of Amazona.Spenser.
SERE,semicolon_dictionary_dump,Dry; withered. Same as Sear.But with its sound it shook the sails That were so thin and sere.Coleridge.
CONNOTE,too_long,"To imply as an attribute.The word ""white"" denotes all white things, as snow, paper, the foamof the sea, etc., and ipmlies, or as it was termed by the schoolmen,connotes, the attribute ""whiteness."" J. S. Mill."
DEEP,too_long,"To a great depth; with depth; far down; profoundly; deeply.Deep-versed in books, and shallow in himself. Milton.Drink deep, or taste not the Pierian spring. Pope."
PRIMARILY,semicolon_dictionary_dump,In a primary manner; in the first place; in the first place; inthe first intention; originally.
RECALL,multi_sentence,"A call on the trumpet, bugle, or drum, by which soldiers arerecalled from duty, labor, etc. Wilhelm."
